00m: 0 Edges, 0 Instrs
01m: 385 Edges, 5901 Instrs
02m: 390 Edges, 6122 Instrs
03m: 390 Edges, 6122 Instrs
04m: 391 Edges, 6129 Instrs
05m: 391 Edges, 6129 Instrs
06m: 391 Edges, 6129 Instrs
07m: 391 Edges, 6129 Instrs
08m: 391 Edges, 6129 Instrs
09m: 391 Edges, 6129 Instrs
10m: 391 Edges, 6129 Instrs
11m: 391 Edges, 6129 Instrs
12m: 391 Edges, 6129 Instrs
13m: 391 Edges, 6129 Instrs
14m: 391 Edges, 6129 Instrs
15m: 391 Edges, 6129 Instrs
16m: 391 Edges, 6129 Instrs
17m: 391 Edges, 6129 Instrs
18m: 391 Edges, 6129 Instrs
19m: 391 Edges, 6129 Instrs
20m: 391 Edges, 6129 Instrs
21m: 391 Edges, 6129 Instrs
22m: 391 Edges, 6129 Instrs
23m: 391 Edges, 6129 Instrs
24m: 394 Edges, 6230 Instrs
25m: 394 Edges, 6230 Instrs
26m: 394 Edges, 6230 Instrs
27m: 394 Edges, 6230 Instrs
28m: 394 Edges, 6230 Instrs
29m: 394 Edges, 6230 Instrs
30m: 394 Edges, 6230 Instrs
31m: 394 Edges, 6230 Instrs
32m: 394 Edges, 6230 Instrs
33m: 395 Edges, 6237 Instrs
34m: 395 Edges, 6237 Instrs
35m: 395 Edges, 6237 Instrs
36m: 395 Edges, 6237 Instrs
37m: 395 Edges, 6237 Instrs
38m: 395 Edges, 6237 Instrs
39m: 396 Edges, 6244 Instrs
