00m: 0 Edges, 0 Instrs
01m: 291 Edges, 5243 Instrs
02m: 296 Edges, 5296 Instrs
03m: 302 Edges, 5393 Instrs
04m: 302 Edges, 5393 Instrs
05m: 302 Edges, 5393 Instrs
06m: 302 Edges, 5393 Instrs
07m: 302 Edges, 5393 Instrs
08m: 302 Edges, 5393 Instrs
09m: 303 Edges, 5394 Instrs
10m: 303 Edges, 5394 Instrs
11m: 303 Edges, 5394 Instrs
12m: 303 Edges, 5394 Instrs
13m: 303 Edges, 5394 Instrs
14m: 303 Edges, 5394 Instrs
15m: 303 Edges, 5394 Instrs
16m: 303 Edges, 5394 Instrs
17m: 303 Edges, 5394 Instrs
18m: 303 Edges, 5394 Instrs
19m: 303 Edges, 5394 Instrs
20m: 303 Edges, 5394 Instrs
21m: 303 Edges, 5394 Instrs
22m: 303 Edges, 5394 Instrs
23m: 303 Edges, 5394 Instrs
24m: 303 Edges, 5394 Instrs
25m: 303 Edges, 5394 Instrs
26m: 303 Edges, 5394 Instrs
27m: 303 Edges, 5394 Instrs
28m: 303 Edges, 5394 Instrs
29m: 303 Edges, 5394 Instrs
30m: 303 Edges, 5394 Instrs
31m: 303 Edges, 5394 Instrs
32m: 303 Edges, 5394 Instrs
33m: 303 Edges, 5394 Instrs
34m: 303 Edges, 5394 Instrs
35m: 303 Edges, 5394 Instrs
36m: 303 Edges, 5394 Instrs
37m: 303 Edges, 5394 Instrs
38m: 303 Edges, 5394 Instrs
39m: 303 Edges, 5394 Instrs
40m: 303 Edges, 5394 Instrs
41m: 303 Edges, 5394 Instrs
42m: 305 Edges, 5397 Instrs
