00m: 0 Edges, 0 Instrs
01m: 438 Edges, 5487 Instrs
02m: 438 Edges, 5487 Instrs
03m: 438 Edges, 5487 Instrs
04m: 482 Edges, 6260 Instrs
05m: 488 Edges, 6440 Instrs
06m: 499 Edges, 6625 Instrs
07m: 509 Edges, 6699 Instrs
08m: 513 Edges, 6736 Instrs
09m: 513 Edges, 6736 Instrs
10m: 513 Edges, 6736 Instrs
11m: 513 Edges, 6736 Instrs
12m: 513 Edges, 6736 Instrs
13m: 513 Edges, 6736 Instrs
14m: 513 Edges, 6736 Instrs
15m: 513 Edges, 6736 Instrs
16m: 513 Edges, 6736 Instrs
17m: 513 Edges, 6736 Instrs
18m: 513 Edges, 6736 Instrs
19m: 513 Edges, 6736 Instrs
20m: 515 Edges, 6748 Instrs
21m: 515 Edges, 6748 Instrs
22m: 515 Edges, 6748 Instrs
23m: 515 Edges, 6748 Instrs
24m: 515 Edges, 6748 Instrs
25m: 515 Edges, 6748 Instrs
26m: 515 Edges, 6748 Instrs
27m: 515 Edges, 6748 Instrs
28m: 515 Edges, 6748 Instrs
29m: 515 Edges, 6748 Instrs
30m: 515 Edges, 6748 Instrs
31m: 515 Edges, 6748 Instrs
32m: 515 Edges, 6748 Instrs
33m: 515 Edges, 6748 Instrs
34m: 515 Edges, 6748 Instrs
35m: 515 Edges, 6748 Instrs
36m: 515 Edges, 6748 Instrs
37m: 515 Edges, 6748 Instrs
38m: 515 Edges, 6748 Instrs
39m: 518 Edges, 6752 Instrs
